"Cell","Cluster"
"cell_d0_1",1
"cell_d0_2",1
"cell_d0_3",1
"cell_d0_4",1
"cell_d0_5",1
"cell_d0_6",1
"cell_d0_7",1
"cell_d0_8",1
"cell_d0_9",1
"cell_d0_10",1
"cell_d0_11",1
"cell_d0_12",1
"cell_d0_13",1
"cell_d0_14",1
"cell_d0_15",1
"cell_d0_16",1
"cell_d0_17",1
"cell_d0_18",1
"cell_d0_19",1
"cell_d0_20",1
"cell_d0_21",1
"cell_d0_22",1
"cell_d0_23",1
"cell_d0_24",1
"cell_d0_25",1
"cell_d0_26",1
"cell_d0_27",1
"cell_d0_28",1
"cell_d0_29",1
"cell_d0_30",1
"cell_d0_31",1
"cell_d0_32",1
"cell_d0_33",1
"cell_d0_34",1
"cell_d0_35",1
"cell_d0_36",1
"cell_d0_37",1
"cell_d0_38",1
"cell_d0_39",1
"cell_d0_40",1
"cell_d0_41",1
"cell_d0_42",1
"cell_d0_43",1
"cell_d0_44",1
"cell_d0_45",1
"cell_d0_46",1
"cell_d0_47",1
"cell_d0_48",1
"cell_d0_49",1
"cell_d0_50",1
"cell_d0_51",1
"cell_d0_52",1
"cell_d0_53",1
"cell_d0_54",1
"cell_d0_55",1
"cell_d0_56",1
"cell_d0_57",1
"cell_d0_58",1
"cell_d0_59",1
"cell_d0_60",1
"cell_d0_61",1
"cell_d0_62",1
"cell_d0_63",1
"cell_d0_64",1
"cell_d0_65",1
"cell_d0_66",1
"cell_d0_67",1
"cell_d0_68",1
"cell_d0_69",1
"cell_d0_70",1
"cell_d0_71",1
"cell_d0_72",1
"cell_d0_73",1
"cell_d0_74",1
"cell_d0_75",1
"cell_d0_76",1
"cell_d0_77",1
"cell_d0_78",1
"cell_d0_79",1
"cell_d0_80",1
"cell_d0_81",1
"cell_d0_82",1
"cell_d0_83",1
"cell_d0_84",1
"cell_d0_85",1
"cell_d0_86",1
"cell_d0_87",1
"cell_d0_88",1
"cell_d0_89",1
"cell_d0_90",1
"cell_d0_91",1
"cell_d0_92",1
"cell_d0_93",1
"cell_d0_94",1
"cell_d0_95",1
"cell_d0_96",1
"cell_d0_97",1
"cell_d0_98",1
"cell_d0_99",1
"cell_d0_100",1
"cell_d0_101",1
"cell_d0_102",1
"cell_d0_103",1
"cell_d0_104",1
"cell_d0_105",1
"cell_d0_106",1
"cell_d0_107",1
"cell_d0_108",1
"cell_d0_109",1
"cell_d0_110",1
"cell_d0_111",1
"cell_d0_112",1
"cell_d0_113",1
"cell_d0_114",1
"cell_d0_115",1
"cell_d0_116",1
"cell_d0_117",1
"cell_d0_118",1
"cell_d0_119",1
"cell_d0_120",1
"cell_d0_121",1
"cell_d0_122",1
"cell_d0_123",1
"cell_d0_124",1
"cell_d0_125",1
"cell_d0_126",1
"cell_d0_127",1
"cell_d0_128",1
"cell_d0_129",1
"cell_d0_130",1
"cell_d0_131",1
"cell_d0_132",1
"cell_d0_133",1
"cell_d0_134",1
"cell_d0_135",1
"cell_d0_136",1
"cell_d0_137",1
"cell_d0_138",1
"cell_d0_139",1
"cell_d0_140",1
"cell_d0_141",1
"cell_d0_142",1
"cell_d0_143",1
"cell_d0_144",1
"cell_d0_145",1
"cell_d0_146",1
"cell_d0_147",1
"cell_d0_148",1
"cell_d0_149",1
"cell_d0_150",1
"cell_d0_151",1
"cell_d0_152",1
"cell_d0_153",1
"cell_d0_154",1
"cell_d0_155",1
"cell_d0_156",1
"cell_d0_157",1
"cell_d0_158",1
"cell_d0_159",1
"cell_d0_160",1
"cell_d0_161",1
"cell_d0_162",1
"cell_d0_163",1
"cell_d0_164",1
"cell_d0_165",1
"cell_d0_166",1
"cell_d0_167",1
"cell_d0_168",1
"cell_d0_169",1
"cell_d0_170",1
"cell_d0_171",1
"cell_d0_172",1
"cell_d0_173",1
"cell_d0_174",1
"cell_d0_175",1
"cell_d0_176",1
"cell_d0_177",1
"cell_d0_178",1
"cell_d0_179",1
"cell_d0_180",1
"cell_d0_181",1
"cell_d0_182",1
"cell_d0_183",1
"cell_d0_184",1
"cell_d0_185",1
"cell_d0_186",1
"cell_d0_187",1
"cell_d0_188",1
"cell_d0_189",1
"cell_d0_190",1
"cell_d0_191",1
"cell_d0_192",1
"cell_d0_193",1
"cell_d0_194",1
"cell_d0_195",1
"cell_d0_196",1
"cell_d0_197",1
"cell_d0_198",1
"cell_d0_199",1
"cell_d0_200",1
"cell_d0_201",1
"cell_d0_202",1
"cell_d0_203",1
"cell_d0_204",1
"cell_d0_205",1
"cell_d0_206",1
"cell_d0_207",1
"cell_d0_208",1
"cell_d0_209",1
"cell_d0_210",1
"cell_d0_211",1
"cell_d0_212",1
"cell_d0_213",1
"cell_d0_214",1
"cell_d0_215",1
"cell_d0_216",1
"cell_d0_217",1
"cell_d0_218",1
"cell_d0_219",1
"cell_d0_220",1
"cell_d0_221",1
"cell_d0_222",1
"cell_d0_223",1
